,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,Condition
65,t,1.548619325985321e-05,0.4284315407996882,0.1804801787964337,0.1803687554061464,3,3,hbr,False,S3_D3 hbr,Neutral
66,t,2.116297894877326e-06,0.48840422381915205,0.02908780092830884,0.0290703944283273,3,4,hbr,False,S3_D4 hbr,Neutral
67,t,4.298436354586216e-06,0.4830801540146864,0.042449913911739336,0.042424487108516526,4,2,hbr,False,S4_D2 hbr,Neutral
68,t,4.138709152616282e-06,0.45675433513777697,0.10867972952473423,0.1086139820747384,4,4,hbr,False,S4_D4 hbr,Neutral
69,t,1.6580017525741275e-05,0.4123294556100916,0.22169586985785752,0.22155680518281082,4,5,hbr,False,S4_D5 hbr,Neutral
70,t,-7.897454947019357e-07,0.5040983066858542,-0.010279258799797557,-0.010273112112629575,5,3,hbr,False,S5_D3 hbr,Neutral
71,t,-9.606438734418784e-07,0.5166158560852928,-0.04168679176306629,-0.04166182365704622,5,4,hbr,False,S5_D4 hbr,Neutral
72,t,-2.5190017572676164e-05,0.7475490928032936,-0.6673735499209077,-0.6667969919719963,5,6,hbr,False,S5_D6 hbr,Neutral
73,t,-2.756327830300665e-06,0.5171816425706646,-0.04310713576341734,-0.043081313846523264,6,4,hbr,False,S6_D4 hbr,Neutral
74,t,-3.653811871665125e-06,0.5261490845631943,-0.0656324505157279,-0.06559303947656568,6,5,hbr,False,S6_D5 hbr,Neutral
75,t,-4.009816171681375e-08,0.5002028324036493,-0.0005087296328562853,-0.0005084254599031212,6,6,hbr,False,S6_D6 hbr,Neutral
76,t,-1.4002501238295469e-05,0.6682527410414592,-0.43540320600969656,-0.4350935597667152,7,5,hbr,False,S7_D5 hbr,Neutral
77,t,-3.157028172270659e-05,0.980986082230082,-2.0811556940937006,-2.074554577696576,7,7,hbr,False,S7_D7 hbr,Neutral
78,t,1.6776167668956894e-05,0.415524793337862,0.2134890900452777,0.21335562889552395,8,6,hbr,False,S8_D6 hbr,Neutral
79,t,2.5759218012076228e-05,0.3336260690918136,0.43022714818215946,0.42992233442834765,8,7,hbr,False,S8_D7 hbr,Neutral
80,t,1.562128121082039e-05,0.3728362835324692,0.3245390080198162,0.32435066359477316,1,1,hbo,False,S1_D1 hbo,Neutral
81,t,-7.772275851629853e-06,0.5960278053673971,-0.24321400948478936,-0.2430787543469714,1,2,hbo,False,S1_D2 hbo,Neutral
82,t,-1.5090499305997879e-05,0.6377438935998423,-0.3526429686947499,-0.3524347928249808,2,1,hbo,False,S2_D1 hbo,Neutral
83,t,-9.748378134512431e-06,0.7266658264010726,-0.6031918757654695,-0.6027600195529103,2,3,hbo,False,S2_D3 hbo,Neutral
84,t,2.480512340544346e-06,0.46228364436761854,0.09473234726229789,0.09468215978882108,3,2,hbo,False,S3_D2 hbo,Neutral
85,t,-2.3184514387642822e-05,0.6612995336956885,-0.4162688167697085,-0.4160123958423821,3,3,hbo,False,S3_D3 hbo,Neutral
