,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,Condition
97,t,-4.034029504642165e-05,0.8622187608852101,-1.0915970169336164,-1.090342096265895,7,7,hbo,False,S7_D7 hbo,Inflammatory
98,t,-1.4461492691232421e-05,0.7726640710024276,-0.7482617038217139,-0.7476490708193293,8,6,hbo,False,S8_D6 hbo,Inflammatory
99,t,8.082884121800386e-06,0.3882804769340418,0.28396464229614987,0.2838035238651375,8,7,hbo,False,S8_D7 hbo,Inflammatory
100,t,1.4176540394572106e-05,0.037318003372122543,1.7866151312534828,1.7826947480668143,1,1,hbr,True,S1_D1 hbr,Inflammatory
101,t,-2.437076886533821e-05,0.8462718419684983,-1.021669485669984,-1.0205739934445615,1,2,hbr,False,S1_D2 hbr,Inflammatory
102,t,1.3934315737186695e-05,0.22209403361030555,0.7657778139217094,0.7651401948814305,2,1,hbr,False,S2_D1 hbr,Inflammatory
103,t,6.497598768000537e-06,0.2183008828581126,0.7786008216620164,0.7779444440235458,2,3,hbr,False,S2_D3 hbr,Inflammatory
104,t,-8.427266832083734e-06,0.6987774613207414,-0.521235582665286,-0.5208875951973528,3,2,hbr,False,S3_D2 hbr,Inflammatory
105,t,1.7747417074931423e-05,0.23293506764726618,0.7298021172056182,0.7292150356483454,3,3,hbr,False,S3_D3 hbr,Inflammatory
106,t,-2.5413631741875004e-06,0.6139651844771901,-0.2898337559469993,-0.289668795258411,3,4,hbr,False,S3_D4 hbr,Inflammatory
107,t,4.651482160640988e-06,0.4368563421744413,0.15903000643372836,0.15894439343058395,4,2,hbr,False,S4_D2 hbr,Inflammatory
108,t,6.544805223701817e-06,0.3230065376648483,0.45960016401701564,0.4593079002212447,4,4,hbr,False,S4_D4 hbr,Inflammatory
109,t,-2.2259378578933276e-05,0.9326983837853623,-1.4987428598181762,-1.496193521091544,4,5,hbr,False,S4_D5 hbr,Inflammatory
110,t,3.5705956191003938e-06,0.3942769096215687,0.26834006723598625,0.2681890291567411,5,3,hbr,False,S5_D3 hbr,Inflammatory
111,t,1.4947019954650614e-05,0.21166777597166286,0.8013384646387799,0.8006478312756732,5,4,hbr,False,S5_D4 hbr,Inflammatory
112,t,1.542222891455676e-05,0.1883362182968375,0.8848719820704609,0.8840440456098339,5,6,hbr,False,S5_D6 hbr,Inflammatory
113,t,1.4200945098751893e-05,0.025878020293075437,1.9500565195903974,1.9451573720555377,6,4,hbr,True,S6_D4 hbr,Inflammatory
114,t,-8.941612649378499e-06,0.8065951386276748,-0.8662130706472958,-0.8654174207755332,6,5,hbr,False,S6_D5 hbr,Inflammatory
115,t,1.0766906565751259e-05,0.22849375244061332,0.7444237415039999,0.7438164862658447,6,6,hbr,False,S6_D6 hbr,Inflammatory
116,t,-2.7210652680458635e-05,0.7791640741394421,-0.7700168782487904,-0.7693731020412541,7,5,hbr,False,S7_D5 hbr,Inflammatory
117,t,-2.127098629681379e-05,0.7695485057175241,-0.7379590396557202,-0.7373607649649622,7,7,hbr,False,S7_D7 hbr,Inflammatory
118,t,3.9952741977029255e-06,0.3415521845925159,0.4084808682419199,0.40823062118328207,8,6,hbr,False,S8_D6 hbr,Inflammatory
119,t,1.415555516916825e-07,0.4967267902112541,0.008209122930184944,0.00820481226088972,8,7,hbr,False,S8_D7 hbr,Inflammatory
